intsum,graphs
error-allowed,0
answer-type,integer
instrumental-types,"vertex,edge,graph"
instrumental-tokens,"$vertex,$edge"
instrumental-patterns,"$complete_graph"
instrumental-facts,"$count_invariant"
instrumental-tactics,"$constructive_omega_rule"
relevant-tokens,""
relevant-related-tokens,""
num-tokens,15
num-distinct-tokens,2
num-statements,0
noise-tokens,""
noise-related-tokens,""
